sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-200347,1,3860,CA,Title and Escrow,Reverse Mortgage,"49,953.52",0.00,"49,953.52",0.00,80.00,"1,589.00",18.00,45.00,0.00,20.00
17-500616,2,3860,PA,Title & Sub Escrow,Refinance,"299,250.00",0.00,"299,250.00",0.00,35.00,377.00,0.00,9.00,1.00,45.00
17-500617,2,3863,CA,Title & Full Escrow,Refinance,"186,000.00","86,000.00","100,000.00",1.00,65.00,946.00,21.00,13.00,0.00,104.00
17-500618,2,3863,CA,LCP & Sub-Escrow,Refinance,"30,000.00","342,500.00","-312,500.00",3.00,62.00,856.00,6.00,22.00,0.00,97.00
17-500619,2,3863,CA,Title Only,Refinance,"282,009.00","314,843.00","-32,834.00",2.00,59.00,847.00,23.00,30.00,0.00,36.00
17-500620,2,3863,CA,Title Only,Refinance,"418,365.00","359,800.00","58,565.00",1.00,60.00,759.00,19.00,21.00,0.00,40.00
17-500621,2,3863,CA,Title & Sub-Escrow,Refinance,"304,000.00","300,000.00","4,000.00",1.00,57.00,907.00,19.00,22.00,0.00,44.00
2301-200350,1,3860,TN,Title and Escrow,Reverse Mortgage,"95,550.00","102,000.00","-6,450.00",1.00,78.00,"1,188.00",24.00,33.00,0.00,160.00
2301-200351,1,3860,ME,Title and Escrow,Reverse Mortgage,"130,000.00","102,500.00","27,500.00",2.00,55.00,571.00,23.00,9.00,1.00,45.00
17-500622,2,3863,FL,Title Only,Refinance,"35,805.00","113,000.00","-77,195.00",1.00,71.00,"1,076.00",31.00,40.00,0.00,112.00
17-500624,2,3860,PA,Title Only,Refinance,"66,253.00","66,254.00",-1.00,1.00,78.00,"1,217.00",28.00,38.00,0.00,124.00
17-500625,2,3860,WI,Title Only,Refinance,"123,290.00","140,161.35","-16,871.35",2.00,89.00,"1,152.00",23.00,42.00,0.00,78.00
17-500626,2,3860,IL,Title & Sub-Escrow,Refinance,"109,406.00","151,648.78","-42,242.78",1.00,76.00,"1,506.00",24.00,44.00,0.00,96.00
17-500627,2,3863,CA,Title Only,Refinance,"181,000.00","169,000.00","12,000.00",1.00,51.00,798.00,18.00,20.00,0.00,75.00
2301-200353,1,3863,TX,Title and Escrow,Reverse Mortgage,"81,780.00",0.00,"81,780.00",0.00,81.00,"1,498.00",6.00,30.00,0.00,30.00
17-500628,2,3863,CA,Title Only,Refinance,"386,127.00","263,000.00","123,127.00",1.00,59.00,762.00,20.00,22.00,0.00,36.00
2301-200354,1,3863,NV,Title and Escrow,Reverse Mortgage,"127,750.00",0.00,"127,750.00",0.00,79.00,"1,365.00",17.00,38.00,0.00,63.00
2301-200355,1,3863,AZ,Title and Escrow,Reverse Mortgage,"181,170.00","150,000.00","31,170.00",1.00,67.00,"1,274.00",17.00,36.00,0.00,33.00
2301-200356,1,3860,NV,Title and Escrow,Reverse Mortgage,"400,000.00","83,945.00","316,055.00",1.00,50.00,474.00,20.00,6.00,1.00,45.00
17-500629,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,"104,702.49","170,193.70","-65,491.21",4.00,23.00,455.00,15.00,8.00,0.00,96.00
17-500630,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,"141,560.65","217,700.34","-76,139.69",13.00,50.00,832.00,32.00,20.00,0.00,96.00
17-500631,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,"200,994.53","217,917.13","-16,922.60",3.00,23.00,434.00,13.00,7.00,0.00,96.00
17-500632,2,3863,CA,Title Only,Refinance,"100,000.00",0.00,"100,000.00",0.00,39.00,586.00,17.00,4.00,1.00,45.00
17-500633,2,3863,CA,Title Only,Refinance,"280,000.00",0.00,"280,000.00",0.00,37.00,519.00,19.00,14.00,1.00,45.00
17-500634,2,3863,CA,Title & Sub-Escrow,Refinance,"311,000.00","430,000.00","-119,000.00",2.00,44.00,475.00,21.00,8.00,1.00,45.00
17-500635,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,"364,648.13","486,000.00","-121,351.87",2.00,25.00,585.00,17.00,9.00,0.00,96.00
17-500636,2,3863,FL,Title Only,Refinance,"243,979.00","6,290.00","237,689.00",1.00,38.00,422.00,34.00,4.00,1.00,45.00
17-500638,2,3863,CA,Title Only,Refinance,"226,274.00","227,696.00","-1,422.00",1.00,34.00,401.00,19.00,3.00,1.00,45.00
17-500639,2,3863,CA,LCP - Title Only,Refinance,"75,000.00","136,000.00","-61,000.00",1.00,35.00,411.00,4.00,7.00,1.00,45.00
17-500640,2,3863,CA,Title & Sub-Escrow,Refinance,"70,000.00",0.00,"70,000.00",0.00,81.00,"1,396.00",24.00,35.00,0.00,30.00
17-500641,2,3863,CA,LCP - Title Only,Refinance,"50,000.00","245,000.00","-195,000.00",1.00,45.00,729.00,5.00,16.00,0.00,22.00
2301-200361,1,3863,CA,Title and Escrow,Reverse Mortgage,"334,017.00","90,000.00","244,017.00",1.00,69.00,"1,198.00",17.00,33.00,0.00,34.00
17-500642,2,3863,CA,LCP - Title Only,Refinance,"28,740.00","239,550.00","-210,810.00",1.00,47.00,617.00,4.00,10.00,0.00,41.00
2301-200362,1,3860,NC,Title and Escrow,Reverse Mortgage,"120,000.00",0.00,"120,000.00",0.00,48.00,427.00,3.00,8.00,1.00,45.00
17-500643,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"18,500.00",0.00,"18,500.00",0.00,14.00,209.00,0.00,4.00,1.00,45.00
2301-200363,1,3863,TX,Title and Escrow,Reverse Mortgage,"131,000.00","89,800.00","41,200.00",1.00,104.00,"2,043.00",9.00,47.00,0.00,26.00
17-500644,2,3863,CA,LCP - Title Only,Refinance,"75,000.00",0.00,"75,000.00",0.00,35.00,401.00,4.00,7.00,1.00,45.00
17-500645,2,3863,CA,LCP - Title Only,Refinance,"15,000.00","87,718.00","-72,718.00",1.00,49.00,748.00,4.00,12.00,0.00,76.00
17-500646,2,3863,CA,Title Only,Refinance,"150,000.00",0.00,"150,000.00",0.00,58.00,944.00,18.00,23.00,0.00,30.00
17-500647,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"100,000.00","295,000.00","-195,000.00",1.00,52.00,610.00,4.00,11.00,0.00,22.00
2301-200364,1,3860,IL,Title and Escrow,Reverse Mortgage,"100,000.00","36,974.57","63,025.43",3.00,52.00,643.00,19.00,22.00,1.00,45.00
17-500648,2,3863,CA,LCP & Sub-Escrow,Refinance,"250,000.00","359,000.00","-109,000.00",2.00,50.00,815.00,7.00,18.00,0.00,195.00
17-500649,2,3863,CA,LCP - Title Only,Refinance,"16,900.00","248,000.00","-231,100.00",1.00,46.00,632.00,4.00,12.00,0.00,42.00
17-500650,2,3863,CA,LCP - Title Only,Refinance,"35,000.00",0.00,"35,000.00",0.00,68.00,953.00,4.00,19.00,0.00,42.00
17-500651,2,3863,CA,LCP - Title Only,Refinance,"20,000.00","151,559.00","-131,559.00",1.00,40.00,563.00,4.00,12.00,0.00,23.00
17-500652,2,3863,CA,LCP - Title Only,Refinance,"31,300.00","256,000.00","-224,700.00",1.00,43.00,794.00,4.00,23.00,0.00,47.00
17-500653,2,3863,CA,Title Only,Refinance,"130,600.00","150,000.00","-19,400.00",1.00,52.00,824.00,18.00,22.00,0.00,30.00
17-500654,2,3863,CA,LCP & Sub-Escrow,Refinance,"25,000.00","120,000.00","-95,000.00",1.00,68.00,939.00,4.00,17.00,0.00,15.00
17-500655,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"15,000.00","133,937.00","-118,937.00",2.00,41.00,583.00,5.00,13.00,0.00,55.00
2301-200365,1,3863,CA,Title and Escrow,Reverse Mortgage,"401,571.00",0.00,"401,571.00",0.00,83.00,"1,315.00",16.00,35.00,0.00,26.00
2301-200366,1,3863,CA,Title and Escrow,Reverse Mortgage,"325,000.00","215,400.00","109,600.00",2.00,80.00,"1,500.00",20.00,49.00,0.00,27.00
17-500657,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),"100,000.00","301,650.00","-201,650.00",2.00,47.00,681.00,7.00,12.00,0.00,33.00
2301-200367,1,3863,AZ,Title and Escrow,Reverse Mortgage,"78,600.00","68,650.00","9,950.00",1.00,72.00,"1,369.00",18.00,39.00,0.00,33.00
17-500658,2,3863,CA,Title Only,Refinance,"643,042.00","624,000.00","19,042.00",1.00,61.00,895.00,18.00,20.00,0.00,43.00
2301-200368,1,3863,CA,Title and Escrow,Reverse Mortgage,"220,400.00",289.12,"220,110.88",1.00,86.00,"1,723.00",19.00,67.00,0.00,33.00
17-500660,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),"50,000.00","577,431.00","-527,431.00",1.00,30.00,364.00,4.00,8.00,0.00,191.00
2301-200370,1,3860,GA,Title and Escrow,Reverse Mortgage,"102,790.00","175,000.00","-72,210.00",2.00,93.00,"1,739.00",24.00,63.00,0.00,72.00
17-500661,2,3863,CA,Title & Sub-Escrow,Refinance,"53,000.00",0.00,"53,000.00",0.00,37.00,395.00,18.00,4.00,1.00,45.00
17-500663,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"36,800.00","112,351.00","-75,551.00",1.00,37.00,621.00,6.00,13.00,0.00,57.00
17-500664,2,3863,CA,LCP - Title Only,Refinance,"30,000.00","87,250.00","-57,250.00",1.00,53.00,715.00,4.00,10.00,0.00,41.00
17-500665,2,3863,CA,Title Only,Refinance,"103,300.00","66,500.00","36,800.00",1.00,56.00,865.00,20.00,22.00,0.00,127.00
17-500666,2,3860,CO,Title Only,Refinance,"615,000.00","775,790.00","-160,790.00",2.00,73.00,"1,140.00",24.00,27.00,0.00,112.00
17-500668,2,3863,CA,LCP - Title Only,Refinance,"10,000.00",0.00,"10,000.00",0.00,26.00,213.00,0.00,3.00,1.00,45.00
2301-200373,1,3860,VA,Title and Escrow,Reverse Mortgage,"325,000.00","209,050.00","115,950.00",1.00,64.00,693.00,21.00,16.00,1.00,45.00
2301-200374,1,3860,IL,Title and Escrow,Reverse Mortgage,"114,450.00",0.00,"114,450.00",0.00,97.00,"1,455.00",19.00,37.00,0.00,41.00
2301-200375,1,3860,NC,Title and Escrow,Reverse Mortgage,"114,124.00","140,000.00","-25,876.00",1.00,73.00,"1,306.00",23.00,31.00,0.00,30.00
2301-200376,1,3863,CA,Title and Escrow,Reverse Mortgage,"189,760.00","125,000.00","64,760.00",1.00,69.00,"1,323.00",17.00,28.00,0.00,44.00
2301-200377,1,3863,CA,Title and Escrow,Reverse Mortgage,"228,750.00","133,000.00","95,750.00",1.00,79.00,"1,644.00",17.00,33.00,0.00,49.00
2301-200378,1,3863,CA,Title and Escrow,Reverse Mortgage,"394,065.00",0.00,"394,065.00",0.00,97.00,"1,530.00",16.00,44.00,0.00,29.00
17-500670,2,3863,CA,Title & Full Escrow,Refinance,"200,000.00","194,928.00","5,072.00",1.00,77.00,924.00,19.00,17.00,0.00,34.00
17-500671,2,3863,CA,LCP & Sub-Escrow,Refinance,0.00,"133,000.00","-133,000.00",2.00,45.00,735.00,6.00,9.00,1.00,45.00
2301-200380,1,3863,FL,Title and Escrow,Reverse Mortgage,"109,250.00",0.00,"109,250.00",0.00,121.00,"2,441.00",29.00,86.00,0.00,48.00
17-500673,2,3863,CA,Title & Full Escrow,Refinance,"229,300.00","486,485.00","-257,185.00",3.00,65.00,"1,008.00",24.00,20.00,0.00,41.00
17-500675,2,3863,CA,Title & Full Escrow,Refinance,"151,350.00","156,000.00","-4,650.00",1.00,65.00,892.00,19.00,17.00,0.00,33.00
2301-200382,1,3863,FL,Title and Escrow,Reverse Mortgage,"52,492.89","30,000.00","22,492.89",1.00,88.00,"1,465.00",31.00,28.00,0.00,23.00
17-500678,2,3863,CA,LCP & Sub-Escrow,Refinance,"10,000.00","50,000.00","-40,000.00",1.00,53.00,871.00,4.00,20.00,0.00,96.00
17-500679,2,3860,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"60,000.00","290,000.00","-230,000.00",2.00,34.00,516.00,7.00,13.00,0.00,96.00
17-500680,2,3860,WI,Title & Full Escrow,Refinance,"103,715.00","134,960.00","-31,245.00",2.00,76.00,"1,259.00",24.00,35.00,0.00,96.00
17-500681,2,3863,CA,Title & Sub-Escrow,Refinance,"288,000.00","291,713.00","-3,713.00",2.00,39.00,394.00,20.00,5.00,1.00,45.00
17-500682,2,3863,CA,LCP - Title Only,Refinance,"49,000.00","143,500.00","-94,500.00",2.00,38.00,573.00,6.00,17.00,0.00,47.00
2301-200383,1,3860,GA,Title and Escrow,Reverse Mortgage,"76,719.00","25,000.00","51,719.00",1.00,86.00,"1,329.00",20.00,42.00,0.00,41.00
17-500683,2,3863,CA,Title & Full Escrow,Refinance,"136,100.00","140,000.00","-3,900.00",1.00,66.00,876.00,19.00,16.00,0.00,40.00
17-500684,2,3863,FL,Title & Full Escrow,Refinance,"328,617.00","353,521.00","-24,904.00",1.00,95.00,"1,386.00",32.00,31.00,0.00,125.00
17-500685,2,3860,MN,Title Only,Refinance,"318,000.00","341,200.00","-23,200.00",1.00,34.00,423.00,26.00,5.00,1.00,45.00
2301-200387,1,3863,CA,Title and Escrow,Reverse Mortgage,"167,000.00","93,000.00","74,000.00",1.00,54.00,615.00,19.00,14.00,1.00,45.00
2301-200388,1,3860,VA,Title and Escrow,Reverse Mortgage,"2,000,000.00","938,250.00","1,061,750.00",1.00,51.00,465.00,24.00,5.00,1.00,45.00
2301-200389,1,3860,NJ,Title and Escrow,Reverse Mortgage,"130,000.00","64,000.00","66,000.00",1.00,82.00,"1,079.00",9.00,29.00,1.00,45.00
17-500686,2,3863,CA,Title & Sub-Escrow,Refinance,"492,500.00","576,000.00","-83,500.00",2.00,41.00,477.00,21.00,10.00,1.00,45.00
17-500687,2,3863,CA,Title & Sub-Escrow,Refinance,"384,869.00","384,252.00",617.00,1.00,61.00,867.00,18.00,25.00,0.00,96.00
17-500688,2,3863,CA,LCP - Title Only,Refinance,"15,000.00","225,000.00","-210,000.00",1.00,67.00,"1,047.00",4.00,29.00,0.00,49.00
17-500689,2,3863,CA,Title & Sub-Escrow,Refinance,"307,280.00","682,380.00","-375,100.00",4.00,38.00,650.00,25.00,6.00,1.00,45.00
17-500690,2,3860,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"180,000.00","181,600.00","-1,600.00",2.00,26.00,382.00,10.00,6.00,0.00,191.00
17-500691,2,3863,CA,LCP - Title Only,Refinance,"40,000.00","230,755.00","-190,755.00",2.00,33.00,608.00,6.00,17.00,0.00,85.00
17-500692,2,3860,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"180,000.00","189,150.00","-9,150.00",3.00,26.00,390.00,10.00,6.00,0.00,191.00
17-500693,2,3863,CA,Title & Full Escrow,Refinance,"377,250.00","391,159.00","-13,909.00",1.00,76.00,"1,087.00",19.00,24.00,0.00,51.00
2301-200395,1,3863,NV,Title and Escrow,Reverse Mortgage,"170,230.00","20,000.00","150,230.00",1.00,85.00,"1,929.00",21.00,62.00,0.00,28.00
17-500694,2,3863,NV,Title & Sub-Escrow,Refinance,"142,000.00","165,036.00","-23,036.00",1.00,65.00,849.00,20.00,26.00,0.00,49.00
17-500695,2,3863,CA,LCP - Title Only,Refinance,"22,000.00","153,500.00","-131,500.00",1.00,48.00,664.00,4.00,15.00,0.00,42.00
2301-200397,1,3863,FL,Title Only,Reverse Mortgage,"6,447.45",0.00,"6,447.45",0.00,70.00,999.00,27.00,20.00,0.00,26.00
17-500696,2,3863,CA,LCP & Sub-Escrow,Refinance,"25,000.00","240,000.00","-215,000.00",1.00,62.00,881.00,4.00,15.00,0.00,30.00
2301-200398,1,3863,NV,Title and Escrow,Reverse Mortgage,"139,390.00","137,500.00","1,890.00",1.00,78.00,"1,628.00",21.00,40.00,0.00,83.00
17-500697,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),"15,000.00","137,600.00","-122,600.00",1.00,42.00,561.00,4.00,11.00,0.00,26.00
17-500698,2,3863,CA,Title Only,Refinance,"137,800.00","345,000.00","-207,200.00",1.00,46.00,657.00,18.00,19.00,0.00,22.00
2301-200401,1,3863,CA,Title and Escrow,Reverse Mortgage,"332,140.50","225,000.00","107,140.50",1.00,68.00,"1,252.00",17.00,43.00,0.00,27.00
17-500699,2,3863,CA,LCP - Title Only,Refinance,"20,000.00","328,500.00","-308,500.00",1.00,34.00,395.00,4.00,6.00,1.00,45.00
17-500703,2,3863,CA,Title Only,Refinance,"125,000.00",0.00,"125,000.00",0.00,29.00,481.00,0.00,10.00,1.00,45.00
17-500704,2,3863,CA,Title & Sub-Escrow,Refinance,"145,000.00",0.00,"145,000.00",0.00,230.00,"1,449.00",1.00,54.00,1.00,45.00
17-500705,2,3863,CA,LCP - Title Only,Refinance,"125,000.00",0.00,"125,000.00",0.00,48.00,299.00,0.00,4.00,1.00,45.00
17-500706,2,3863,CA,LCP & Full Escrow,Refinance,"125,000.00",0.00,"125,000.00",0.00,42.00,263.00,0.00,4.00,1.00,45.00
17-500707,2,3863,CA,Title Only,Refinance,"485,510.00","510,975.00","-25,465.00",2.00,58.00,889.00,20.00,25.00,0.00,98.00
2301-200406,1,3860,OH,Title and Escrow,Reverse Mortgage,"27,000.00","49,500.00","-22,500.00",1.00,54.00,447.00,19.00,8.00,1.00,45.00
17-500708,2,3860,IL,Title & Sub-Escrow,Refinance,"49,947.00",0.00,"49,947.00",0.00,29.00,320.00,2.00,9.00,1.00,45.00
17-500709,2,3863,FL,Title Only,Refinance,"55,697.00","187,000.00","-131,303.00",2.00,113.00,"1,498.00",34.00,53.00,0.00,68.00
2301-200408,1,3860,OH,Title and Escrow,Reverse Mortgage,"250,000.00","99,000.00","151,000.00",1.00,51.00,452.00,23.00,6.00,1.00,45.00
17-500710,2,3860,OH,Title Only,Refinance,"72,605.00","144,900.00","-72,295.00",2.00,96.00,"1,519.00",25.00,44.00,0.00,124.00
17-500711,2,3863,CA,LCP - Title Only,Refinance,"18,000.00","215,550.00","-197,550.00",1.00,34.00,378.00,4.00,4.00,1.00,45.00
17-500713,2,3860,CA,Title Only,Refinance,"10,000.00","8,000.00","2,000.00",1.00,52.00,781.00,20.00,25.00,0.00,35.00
17-500714,2,3860,TN,Title Only,Refinance,"72,039.00","73,441.00","-1,402.00",1.00,61.00,"1,041.00",27.00,31.00,0.00,46.00
17-500715,2,3860,IL,Title & Sub-Escrow,Refinance,"81,094.00","105,450.00","-24,356.00",1.00,55.00,912.00,24.00,25.00,0.00,70.00
17-500716,2,3860,CA,Title Only,Refinance,"200,000.00",0.00,"200,000.00",0.00,43.00,682.00,18.00,18.00,0.00,21.00
17-500717,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"400,000.00","2,815,000.00","-2,415,000.00",3.00,27.00,338.00,13.00,4.00,0.00,190.00
17-500718,2,3860,CA,Title Only,Refinance,"77,000.00","60,000.00","17,000.00",1.00,29.00,391.00,21.00,6.00,1.00,45.00
17-500719,2,3860,AL,Reverse Mortgage - Title Only,Refinance,"400,000.00",0.00,"400,000.00",0.00,35.00,743.00,23.00,24.00,1.00,45.00
17-500720,2,3863,CA,Title Only,Refinance,"430,761.00","526,140.94","-95,379.94",2.00,70.00,990.00,20.00,26.00,0.00,62.00
17-500722,2,3863,CA,LCP - Title Only,Refinance,"50,000.00","220,900.00","-170,900.00",1.00,49.00,674.00,4.00,9.00,0.00,49.00
17-500724,2,3860,TN,Title Only,Refinance,"136,500.00","137,000.00",-500.00,1.00,75.00,"1,039.00",21.00,33.00,0.00,35.00
2301-200411,1,3863,NV,Title and Escrow,Reverse Mortgage,"47,200.00",0.00,"47,200.00",0.00,72.00,"1,464.00",19.00,32.00,0.00,48.00
17-500725,2,3863,CA,LCP & Sub-Escrow,Refinance,"25,000.00","85,650.00","-60,650.00",2.00,65.00,"1,079.00",6.00,20.00,0.00,229.00
2301-200414,1,3860,GA,Title and Escrow,Reverse Mortgage,"52,268.38","40,000.00","12,268.38",1.00,88.00,"1,542.00",22.00,40.00,0.00,33.00
2301-200416,1,3863,CA,Title and Escrow,Reverse Mortgage,"186,730.00","45,000.00","141,730.00",1.00,115.00,"1,708.00",17.00,47.00,0.00,53.00
17-500726,2,3863,CA,Title & Full Escrow,Refinance,"266,000.00","275,000.00","-9,000.00",1.00,67.00,"1,133.00",18.00,27.00,0.00,28.00
17-500727,2,3863,CA,Title & Sub-Escrow,Refinance,"300,000.00","270,000.00","30,000.00",1.00,47.00,550.00,23.00,10.00,1.00,45.00
17-500728,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"75,000.00","352,000.00","-277,000.00",1.00,52.00,703.00,6.00,17.00,0.00,32.00
17-500729,2,3863,CA,LCP - Title Only,Refinance,"75,000.00","236,250.00","-161,250.00",1.00,35.00,375.00,4.00,5.00,1.00,45.00
17-500730,2,3863,CA,LCP & Sub-Escrow,Refinance,"50,000.00","95,000.00","-45,000.00",1.00,58.00,882.00,4.00,9.00,0.00,95.00
17-500731,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"40,000.00","124,000.00","-84,000.00",1.00,43.00,585.00,5.00,10.00,0.00,34.00
17-500732,2,3863,FL,Title Only,Refinance,"84,540.00","293,341.00","-208,801.00",2.00,87.00,"1,106.00",34.00,40.00,0.00,97.00
17-500733,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),"80,000.00","271,500.00","-191,500.00",2.00,46.00,588.00,5.00,12.00,0.00,56.00
2301-200418,1,3860,GA,Title and Escrow,Reverse Mortgage,"124,000.00",0.00,"124,000.00",0.00,56.00,467.00,19.00,7.00,1.00,45.00
2301-200419,1,3863,CA,Title and Escrow,Reverse Mortgage,"6,255,000.00","530,815.18","5,724,184.82",7.00,47.00,477.00,23.00,7.00,1.00,45.00
17-500735,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"60,000.00","157,500.00","-97,500.00",2.00,43.00,584.00,7.00,12.00,0.00,36.00
17-500736,2,3860,SC,Title & Sub-Escrow,Refinance,"135,500.00","153,444.00","-17,944.00",2.00,67.00,"1,078.00",26.00,40.00,0.00,67.00
17-500737,2,3863,CA,LCP - Title Only,Refinance,"50,000.00","219,000.00","-169,000.00",3.00,38.00,690.00,8.00,20.00,0.00,28.00
17-500738,2,3860,UT,Title Only,Refinance,"250,000.00",0.00,"250,000.00",0.00,27.00,414.00,21.00,4.00,1.00,45.00
2301-200420,1,3863,TX,Title and Escrow,Reverse Mortgage,"225,000.00","50,000.00","175,000.00",1.00,66.00,587.00,7.00,9.00,1.00,45.00
2301-200421,1,3863,CA,Title and Escrow,Reverse Mortgage,"132,132.00","100,000.00","32,132.00",1.00,73.00,"1,308.00",18.00,33.00,0.00,27.00
17-500739,2,3863,CA,Title & Full Escrow,Refinance,"221,000.00","218,600.00","2,400.00",1.00,71.00,"1,079.00",20.00,28.00,0.00,33.00
17-500740,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"100,000.00","490,875.00","-390,875.00",2.00,27.00,321.00,7.00,5.00,0.00,190.00
2301-200422,1,3860,KS,Title and Escrow,Reverse Mortgage,"63,130.00","122,950.00","-59,820.00",1.00,79.00,"1,302.00",21.00,38.00,0.00,18.00
2301-200423,1,3860,MN,Title and Escrow,Reverse Mortgage,"102,600.00","50,000.00","52,600.00",1.00,74.00,"1,166.00",28.00,32.00,0.00,54.00
17-500741,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),"50,000.00","400,600.00","-350,600.00",1.00,27.00,310.00,4.00,5.00,0.00,190.00
17-500742,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"42,000.00","184,363.00","-142,363.00",1.00,42.00,557.00,5.00,12.00,0.00,49.00
17-500743,2,3860,AL,Reverse Mortgage - Title Only,Refinance,"65,000.00","381,956.36","-316,956.36",10.00,44.00,668.00,32.00,17.00,1.00,45.00
17-500744,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),"84,950.00","220,000.00","-135,050.00",1.00,43.00,554.00,4.00,12.00,0.00,35.00
17-500746,2,3863,CA,Title Only,Refinance,"210,000.00","276,250.00","-66,250.00",2.00,31.00,367.00,19.00,5.00,1.00,45.00
17-500747,2,3863,CA,Title & Sub-Escrow,Refinance,"529,608.00","445,800.00","83,808.00",2.00,69.00,934.00,25.00,25.00,0.00,40.00
17-500748,2,3863,CA,Title Only,Refinance,"417,000.00","370,367.00","46,633.00",1.00,76.00,980.00,18.00,37.00,0.00,57.00
17-500749,2,3863,CA,LCP - Title Only,Refinance,"20,000.00","15,000.00","5,000.00",1.00,47.00,680.00,4.00,16.00,0.00,40.00
17-500750,2,3863,CA,LCP - Title Only,Refinance,"50,000.00","160,000.00","-110,000.00",1.00,41.00,533.00,4.00,10.00,0.00,25.00
17-500751,2,3863,NV,Title & Sub-Escrow,Refinance,"96,096.00","118,946.06","-22,850.06",3.00,44.00,535.00,22.00,10.00,1.00,45.00
2301-200425,1,3860,WI,Title and Escrow,Reverse Mortgage,"72,600.00","32,520.66","40,079.34",1.00,71.00,"1,162.00",23.00,33.00,0.00,33.00
17-500752,2,3863,CA,LCP - Title Only,Refinance,"26,500.00","128,120.00","-101,620.00",1.00,47.00,683.00,4.00,15.00,0.00,41.00
17-500753,2,3863,CA,LCP - Title Only,Refinance,"30,000.00","162,500.00","-132,500.00",1.00,47.00,695.00,4.00,9.00,0.00,49.00
17-500754,2,3860,UT,Title & Full Escrow,Refinance,"150,723.00","162,107.00","-11,384.00",1.00,77.00,"1,073.00",21.00,19.00,0.00,42.00
17-500755,2,3863,CA,LCP - Title Only,Refinance,"30,000.00","319,880.00","-289,880.00",1.00,38.00,647.00,6.00,17.00,0.00,33.00
17-500756,2,3863,CA,Title & Full Escrow,Refinance,"168,650.00","164,323.00","4,327.00",2.00,68.00,958.00,20.00,19.00,0.00,56.00
17-500757,2,3863,CA,Title & Full Escrow,Refinance,"180,000.00","210,000.00","-30,000.00",1.00,77.00,976.00,17.00,21.00,0.00,33.00
2301-200426,1,3860,LA,Title and Escrow,Reverse Mortgage,"71,875.00","59,000.00","12,875.00",1.00,84.00,"1,400.00",23.00,50.00,0.00,48.00
17-500758,2,3863,FL,Title & Full Escrow,Refinance,"221,408.00","331,229.40","-109,821.40",3.00,104.00,"1,618.00",34.00,38.00,0.00,47.00
17-500759,2,3863,CA,LCP & Full Escrow,Refinance,"125,000.00",0.00,"125,000.00",0.00,62.00,421.00,0.00,6.00,1.00,45.00
17-500761,2,3860,UT,Title & Full Escrow,Refinance,"201,465.00","219,000.00","-17,535.00",2.00,71.00,"1,067.00",23.00,21.00,0.00,92.00
2301-200427,1,3863,CA,Title and Escrow,Reverse Mortgage,"360,000.00","134,000.00","226,000.00",1.00,82.00,"1,038.00",20.00,29.00,1.00,45.00
2301-200428,1,3860,NC,Title and Escrow,Reverse Mortgage,"179,200.00",0.00,"179,200.00",0.00,86.00,"1,255.00",16.00,22.00,0.00,39.00
17-500762,2,3863,CA,LCP - Title Only,Refinance,"20,000.00","224,000.00","-204,000.00",1.00,37.00,525.00,4.00,15.00,0.00,29.00
17-500763,2,3863,CA,Title & Sub-Escrow,Refinance,"144,000.00","84,000.00","60,000.00",1.00,60.00,872.00,17.00,19.00,0.00,130.00
2301-200430,1,3860,MD,Title and Escrow,Reverse Mortgage,"175,800.00",0.00,"175,800.00",0.00,82.00,"1,247.00",20.00,41.00,0.00,27.00
17-500764,2,3860,UT,Title & Full Escrow,Refinance,"156,800.00","155,000.00","1,800.00",1.00,70.00,975.00,22.00,23.00,0.00,39.00
2301-200431,1,3863,CA,Title and Escrow,Reverse Mortgage,"334,451.25","288,000.00","46,451.25",1.00,89.00,"1,301.00",19.00,39.00,0.00,39.00
